00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 2680                  680
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                37489                  816
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,                38520                 1031
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39333                  813
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,                40187                  854
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                41001                  814
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,                41952                  951
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                42746                  794
4a760b94, b589f46b, 793069f2, 86cf960d, 0, 1, c3a67586, 3c598a79, 0, 1,                43549                  803
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                44357                  808
a8149050, 57eb6faf, f4007ae8, 0bff8517, 1, 0, 9c150b39, 63eaf4c6, 1, 0,                45230                  873
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                46042                  812
31b20b63, ce4df49c, 2e58495c, d1a7b6a3, 1, 0, 600a54c0, 9ff5ab3f, 0, 1,                47335                 1293
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                48144                  809
ded292bd, 212d6d42, 96ab582d, 6954a7d2, 1, 0, 757deaeb, 8a821514, 1, 0,                49078                  934
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                49882                  804
b0bbe261, 4f441d9e, b1ef6263, 4e109d9c, 0, 1, 62ab44c4, 9d54bb3b, 1, 0,                50588                  706
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                51395                  807
f1d496e3, 0e2b691c, c03b2280, 3fc4dd7f, 0, 1, b20fb963, 4df0469c, 1, 0,                52427                 1032
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                53229                  802
08010510, f7fefaef, 557845aa, aa87ba55, 1, 0, 5d794abb, a286b544, 0, 1,                54193                  964
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                55007                  814
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,                56130                 1123
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                56938                  808
ff599efe, 00a66101, 86bc380d, 7943c7f2, 1, 0, 8615d70c, 79ea28f3, 1, 0,                57898                  960
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                58708                  810
a446be48, 5bb941b7, 359fdd6b, ca602294, 1, 0, d9e69bb4, 2619644b, 0, 1,                59567                  859
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                60375                  808
e15df8c2, 1ea2073d, 81174a02, 7ee8b5fd, 0, 1, 627542c4, 9d8abd3b, 1, 0,                61154                  779
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                61955                  801
34d12d69, cb2ed296, 0effe91d, f10016e2, 1, 0, 43d11687, bc2ee978, 0, 1,                62826                  871
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                63633                  807
1652d92c, e9ad26d3, 11844923, ee7bb6dc, 0, 1, 27d7224f, d828ddb0, 0, 1,                64660                 1027
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                65463                  803
ed3af2da, 12c50d25, e5730aca, 1a8cf535, 0, 1, d2adfda4, 2d52025b, 1, 0,                66573                 1110
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                67374                  801
e844e2d0, 17bb1d2f, 7968bdf2, 8697420d, 0, 1, 61ada0c2, 9e525f3d, 1, 0,                68415                 1041
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                69233                  818
5f54e5be, a0ab1a41, 20c4b341, df3b4cbe, 0, 1, 801998ff, 7fe66700, 0, 1,                70525                 1292
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                71328                  803
89aaf013, 76550fec, 3c20f378, c3df0c87, 1, 0, c5cbe38c, 3a341c73, 0, 1,                72118                  790
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                72924                  806
db0de0b6, 24f21f49, 75c50deb, 8a3af214, 0, 1, 50d2eea1, af2d115e, 1, 0,                73796                  872
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                74608                  812
fda77efb, 02588104, 634bf9c6, 9cb40639, 0, 1, 60f378c1, 9f0c873e, 1, 0,                75560                  952
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                76375                  815
1cacb339, e3534cc6, de7502bc, 218afd43, 0, 1, fb21b5f5, 04de4a0a, 0, 1,                77165                  790
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                77968                  803
6cc0ffd9, 933f0026, 85d79a0b, 7a2865f4, 1, 0, f29899e5, 0d67661a, 0, 1,                78833                  865
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                79637                  804
e154f2c2, 1eab0d3d, 42f24185, bd0dbe7a, 1, 0, 24473448, dbb8cbb7, 1, 0,                80484                  847
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                81286                  802
b2a94665, 4d56b99a, 9dcc603b, 62339fc4, 0, 1, 5075a6a0, af8a595f, 1, 0,                82237                  951
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                83037                  800
ef8ee4df, 10711b20, bf23327e, 40dccd81, 1, 0, aeb2175e, 514de8a1, 1, 0,                83893                  856
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                84711                  818
f96be2f2, 06941d0d, 78d99bf1, 8726640e, 1, 0, 72457ee4, 8dba811b, 1, 0,                85655                  944
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                86467                  812
164a572c, e9b5a8d3, 31230762, cedcf89d, 0, 1, 476d5e8e, b892a171, 0, 1,                87317                  850
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                88117                  800
f41b7ae8, 0be48517, 4fa1559f, b05eaa60, 1, 0, 43bcd088, bc432f77, 1, 0,                89059                  942
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                89872                  813
579485af, a86b7a50, 7c6da9f8, 83925607, 1, 0, d4022fa8, 2bfdd057, 0, 1,                91086                 1214
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                91897                  811
2ed6355d, d129caa2, cfc4569f, 303ba960, 0, 1, fe9a8bfc, 01657403, 0, 1,                92834                  937
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                93637                  803
94f8f429, 6b070bd6, adcbc05b, 52343fa4, 1, 0, 42c4b485, bd3b4b7a, 1, 0,                94501                  864
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                95302                  801
e3b912c7, 1c46ed38, a4ae3249, 5b51cdb6, 0, 1, 88674510, 7798baef, 1, 0,                96176                  874
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                96980                  804
d2455ea4, 2dbaa15b, ebfec0d7, 14013f28, 1, 0, be441f7c, 41bbe083, 1, 0,                97904                  924
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                98712                  808
441a5388, bbe5ac77, 4b212f96, b4ded069, 0, 1, 8f3b831e, 70c47ce1, 0, 1,                99760                 1048
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               100570                  810
30287f60, cfd7809f, e12ccec2, 1ed3313d, 0, 1, 11554e22, eeaab1dd, 1, 0,               101347                  777
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               102162                  815
1b22cd36, e4dd32c9, bb825a77, 447da588, 1, 0, d6a527ae, 295ad851, 0, 1,               103011                  849
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               103820                  809
4ae40195, b51bfe6a, 090cdb12, f6f324ed, 0, 1, 53f0dca7, ac0f2358, 0, 1,               104834                 1014
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               105644                  810
8a9e5815, 7561a7ea, 36e5816d, c91a7e92, 1, 0, c183d983, 3e7c267c, 0, 1,               106610                  966
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               107411                  801
62095bc4, 9df6a43b, 0fd28f1f, f02d70e0, 1, 0, 71dbeae4, 8e24151b, 0, 1,               108349                  938
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               109160                  811
549b25a9, ab64da56, 42d92f85, bd26d07a, 0, 1, 9774552e, 688baad1, 0, 1,               109929                  769
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               110734                  805
c4f9b489, 3b064b76, 2dda595b, d225a6a4, 1, 0, f2d40de5, 0d2bf21a, 0, 1,               111761                 1027
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               112570                  809
1c302338, e3cfdcc7, 9ff2ae3f, 600d51c0, 0, 1, bc22d177, 43dd2e88, 0, 1,               113518                  948
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               114326                  808
24a0b949, db5f46b6, 2c156358, d3ea9ca7, 0, 1, 50b61ca1, af49e35e, 0, 1,               115182                  856
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               115987                  805
3582576b, ca7da894, c71a0c8e, 38e5f371, 0, 1, fc9c63f9, 03639c06, 0, 1,               117004                 1017
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               117802                  798
cda2869b, 325d7964, 7d3599fa, 82ca6605, 0, 1, 4ad82095, b527df6a, 1, 0,               118840                 1038
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               119648                  808
70e14be1, 8f1eb41e, 39961773, c669e88c, 1, 0, aa776355, 55889caa, 0, 1,               120519                  871
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               121329                  810
1ef4853d, e10b7ac2, 9799a82f, 686657d0, 1, 0, b68e2d6d, 4971d292, 0, 1,               122107                  778
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               122912                  805
b6925e6d, 496da192, afd8565f, 5027a9a0, 0, 1, 666ab4cc, 99954b33, 1, 0,               123684                  772
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               124488                  804
ff9944ff, 0066bb00, 7bf8fdf7, 84070208, 1, 0, 7b9242f7, 846dbd08, 1, 0,               125340                  852
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               126163                  823
b8a33071, 475ccf8e, f3091ae6, 0cf6e519, 0, 1, abac4b57, 5453b4a8, 1, 0,               127017                  854
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               127823                  806
52f767a5, ad08985a, 14cfc129, eb303ed6, 1, 0, 67c728cf, 9838d730, 0, 1,               128685                  862
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               129489                  804
65daf9cb, 9a250634, ed536cda, 12ac9325, 1, 0, 532e66a6, acd19959, 1, 0,               130255                  766
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               131062                  807
a603784c, 59fc87b3, da8ae2b5, 25751d4a, 1, 0, 808e5b02, 7f71a4fd, 1, 0,               132099                 1037
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               132910                  811
94a2ec29, 6b5d13d6, 3cf11979, c30ee686, 0, 1, d19405a2, 2e6bfa5d, 0, 1,               134030                 1120
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               134840                  810
3834cf70, c7cb308f, e8740cd0, 178bf32f, 0, 1, 20a8dc40, df5723bf, 1, 0,               135695                  855
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               136507                  812
7e7da1fc, 81825e03, 55f6adab, aa095254, 0, 1, d4744fa7, 2b8bb058, 0, 1,               137362                  855
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               138173                  811
49fd6f93, b602906c, 6e5daddc, 91a25223, 0, 1, b85b1d6f, 47a4e290, 0, 1,               139125                  952
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               139936                  811
8c655e18, 739aa1e7, fedf72fd, 01208d02, 1, 0, 8b44d116, 74bb2ee9, 1, 0,               140803                  867
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               141613                  810
ef3ce8de, 10c31721, 2b0eed56, d4f112a9, 0, 1, 1a4bd634, e5b429cb, 1, 0,               142394                  781
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               143202                  808
92299024, 6dd66fdb, b3d97667, 4c268998, 0, 1, 4603068b, b9fcf974, 1, 0,               144236                 1034
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               145041                  805
b6e6346d, 4919cb92, 5b6fb9b6, a4904649, 0, 1, 1255ee23, edaa11dc, 1, 0,               145900                  859
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               146712                  812
5aa31fb5, a55ce04a, 3cd18779, c32e7886, 0, 1, 9774a72e, 688b58d1, 0, 1,               147567                  855
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               148371                  804
f9d09ef3, 062f610c, 4a74bf94, b58b406b, 1, 0, 44455e88, bbbaa177, 1, 0,               149215                  844
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               150024                  809
4057c980, bfa8367f, 823f2c04, 7dc0d3fb, 1, 0, c296f585, 3d690a7a, 0, 1,               150862                  838
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               151671                  809
c16b9682, 3e94697d, 6dcb69db, 92349624, 1, 0, 2f37005e, d0c8ffa1, 1, 0,               152973                 1302
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               153787                  814
ede48adb, 121b7524, 6cb0b7d9, 934f4826, 1, 0, 5a9542b5, a56abd4a, 1, 0,               154732                  945
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               155540                  808
a3cd9c47, 5c3263b8, bb45e276, 44ba1d89, 0, 1, 5f137ebd, a0ec8142, 1, 0,               156675                 1135
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               157481                  806
3747016e, c8b8fe91, 5b172db6, a4e8d249, 1, 0, 925e2f25, 6da1d0da, 0, 1,               158280                  799
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               159090                  810
dd561cba, 22a9e345, a3071a46, 5cf8e5b9, 0, 1, 805d3700, 7fa2c8ff, 1, 0,               160213                 1123
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               161023                  810
b8ddbe71, 4722418e, 7bd261f7, 842d9e08, 1, 0, 34b02069, cb4fdf96, 1, 0,               162161                 1138
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               162973                  812
08da4f11, f725b0ee, da6ebab4, 2591454b, 0, 1, e34909c5, 1cb6f63a, 0, 1,               163913                  940
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               164727                  814
7ab7b7f5, 8548480a, 147cd928, eb8326d7, 1, 0, 8f34911e, 70cb6ee1, 0, 1,               165592                  865
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               166396                  804
4e15179c, b1eae863, e3c530c7, 1c3acf38, 0, 1, 31da4863, ce25b79c, 1, 0,               167270                  874
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               168075                  805
ae8a965d, 517569a2, 8477e408, 7b881bf7, 0, 1, 33027a65, ccfd859a, 1, 0,               169185                 1110
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               169991                  806
62d1e3c5, 9d2e1c3a, fea7a6fd, 01585902, 1, 0, 61798ac3, 9e86753c, 1, 0,               170861                  870
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               171668                  807
ac682658, 5397d9a7, 8e37901c, 71c86fe3, 0, 1, 3a9fb674, c560498b, 1, 0,               172814                 1146
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               173625                  811
7e0a91fc, 81f56e03, ed3408da, 12cbf725, 1, 0, 6b3e9ad7, 94c16528, 1, 0,               174653                 1028
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               175464                  811
060aad0c, f9f552f3, 334ea766, ccb15899, 0, 1, 39595472, c6a6ab8d, 0, 1,               176248                  784
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               177056                  808
0cf04519, f30fbae6, b9f50473, 460afb8c, 0, 1, c6e5498c, 391ab673, 0, 1,               177833                  777
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               178637                  804
d2504ca4, 2dafb35b, 2f3ab35e, d0c54ca1, 0, 1, 018b0002, fe74fffd, 1, 0,               180381                 1744
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               181200                  819
c8975291, 3768ad6e, 6a8e05d5, 9571fa2a, 0, 1, 33255866, ccdaa799, 1, 0,               182061                  861
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               182864                  803
a23d6044, 5dc29fbb, dcf000b9, 230fff46, 1, 0, 7f2d60fe, 80d29f01, 1, 0,               183995                 1131
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               184803                  808
67be1dcf, 9841e230, 4b273796, b4d8c869, 0, 1, b2e55565, 4d1aaa9a, 0, 1,               185593                  790
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               186398                  805
d69de2ad, 29621d52, 13259f26, ecda60d9, 0, 1, e9c381d3, 163c7e2c, 0, 1,               187443                 1045
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               188252                  809
c2e6ee85, 3d19117a, 3e99837d, c1667c82, 0, 1, 01807202, fe7f8dfd, 1, 0,               189460                 1208
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               190268                  808
b91dca72, 46e2358d, 43615786, bc9ea879, 0, 1, fc7f21f8, 0380de07, 0, 1,               191307                 1039
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               192105                  798
89bcdc13, 764323ec, 3f5a9b7e, c0a56481, 1, 0, c9177792, 36e8886d, 0, 1,               192972                  867
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               193774                  802
bd70687a, 428f9785, e7c3b6cf, 183c4930, 1, 0, a5341f4a, 5acbe0b5, 1, 0,               194733                  959
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               195552                  819
cf7baa9e, 30845561, fd28e4fa, 02d71b05, 1, 0, cca48f99, 335b7066, 1, 0,               196391                  839
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               197197                  806
16decb2d, e92134d2, 0b940917, f46bf6e8, 1, 0, 2272d445, dd8d2bba, 0, 1,               198060                  863
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               198862                  802
68d2abd1, 972d542e, 43779186, bc886e79, 0, 1, ac4a3d57, 53b5c2a8, 0, 1,               199718                  856
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               200523                  805
4c551998, b3aae667, 7a8c59f5, 8573a60a, 1, 0, c6e1738e, 391e8c71, 0, 1,               201323                  800
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               202125                  802
887a9610, 778569ef, 949a8a29, 6b6575d6, 1, 0, 1d15203a, e2eadfc5, 1, 0,               203003                  878
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               203809                  806
18c6f931, e73906ce, e2e574c5, 1d1a8b3a, 0, 1, fbac6df6, 04539209, 0, 1,               204845                 1036
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               205653                  808
e87676d0, 1789892f, 25b27b4b, da4d84b4, 1, 0, 0e28f21c, f1d70de3, 1, 0,               206507                  854
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               207317                  810
9f82ec3f, 607d13c0, f622e6ec, 09dd1913, 0, 1, 95a5d32b, 6a5a2cd4, 1, 0,               208091                  774
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               208893                  802
4cb77d99, b3488266, 2758d14e, d8a72eb1, 0, 1, 74104ee7, 8befb118, 0, 1,               209933                 1040
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               210742                  809
3bccb377, c4334c88, 549efda9, ab610256, 1, 0, 906bb121, 6f944ede, 0, 1,               211680                  938
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               212501                  821
f89beaf1, 0764150e, 070bb90e, f8f446f1, 0, 1, ffa7a3ff, 00585c00, 0, 1,               213893                 1392
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               214706                  813
e8d6a2d1, 17295d2e, cfd6c09f, 30293f60, 0, 1, b8ad6370, 47529c8f, 1, 0,               215569                  863
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               216371                  802
fb80eaf7, 047f1508, 155a1d2a, eaa5e2d5, 1, 0, 10db0822, ef24f7dd, 1, 0,               217417                 1046
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               218234                  817
daf214b5, 250deb4a, 4f75ff9e, b08a0061, 0, 1, 2a681453, d597ebac, 1, 0,               219360                 1126
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               220175                  815
b15f7462, 4ea08b9d, bccfa879, 43305786, 0, 1, 6e2f1cdb, 91d0e324, 1, 0,               221026                  851
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               221834                  808
548eb7a9, ab714856, 652345ca, 9adcba35, 1, 0, b9b1fd74, 464e028b, 0, 1,               222857                 1023
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               223661                  804
ab2c2a56, 54d3d5a9, 35a0c96b, ca5f3694, 1, 0, e0ccf3c2, 1f330c3d, 0, 1,               224617                  956
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               225420                  803
7960fbf2, 869f040d, 5b0bddb6, a4f42249, 0, 1, d46cd9a8, 2b932657, 0, 1,               226208                  788
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               227020                  812
17723f2e, e88dc0d1, 6216abc4, 9de9543b, 1, 0, 7988eaf3, 8677150c, 0, 1,               227877                  857
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               228676                  799
